,filename_seg,counted
638,96 well image example__D5__13.jpg,1
639,96 well image example__D5__14.jpg,1
640,96 well image example__D6__1.jpg,1
641,96 well image example__D6__2.jpg,2
642,96 well image example__D6__3.jpg,3
643,96 well image example__D6__4.jpg,1
644,96 well image example__D6__5.jpg,1
645,96 well image example__D6__6.jpg,1
646,96 well image example__D6__7.jpg,2
647,96 well image example__D6__8.jpg,1
648,96 well image example__D6__9.jpg,1
649,96 well image example__D6__10.jpg,1
650,96 well image example__D6__11.jpg,1
651,96 well image example__D6__12.jpg,3
652,96 well image example__D6__13.jpg,1
653,96 well image example__D6__14.jpg,1
654,96 well image example__D6__15.jpg,3
655,96 well image example__D6__16.jpg,1
656,96 well image example__D6__17.jpg,1
657,96 well image example__D6__18.jpg,1
658,96 well image example__D6__19.jpg,1
659,96 well image example__D6__20.jpg,1
660,96 well image example__D6__21.jpg,1
661,96 well image example__D7__1.jpg,1
662,96 well image example__D7__2.jpg,1
663,96 well image example__D7__3.jpg,2
664,96 well image example__D7__4.jpg,2
665,96 well image example__D7__5.jpg,3
666,96 well image example__D7__6.jpg,1
667,96 well image example__D7__7.jpg,1
668,96 well image example__D7__8.jpg,1
669,96 well image example__D7__9.jpg,1
670,96 well image example__D7__10.jpg,1
671,96 well image example__D7__11.jpg,2
672,96 well image example__D7__12.jpg,5
673,96 well image example__D7__13.jpg,1
674,96 well image example__D7__14.jpg,2
675,96 well image example__D7__15.jpg,1
676,96 well image example__D7__16.jpg,1
677,96 well image example__D7__17.jpg,1
678,96 well image example__D8__1.jpg,1
679,96 well image example__D8__2.jpg,2
680,96 well image example__D8__3.jpg,1
681,96 well image example__D8__4.jpg,0
682,96 well image example__D8__5.jpg,1
683,96 well image example__D8__6.jpg,1
684,96 well image example__D8__7.jpg,1
685,96 well image example__D8__8.jpg,1
686,96 well image example__D8__9.jpg,2
687,96 well image example__D8__10.jpg,2
688,96 well image example__D8__11.jpg,1
689,96 well image example__D8__12.jpg,1
690,96 well image example__D8__13.jpg,2
691,96 well image example__D8__14.jpg,1
692,96 well image example__D8__15.jpg,1
693,96 well image example__D8__16.jpg,1
694,96 well image example__D8__17.jpg,1
695,96 well image example__D8__18.jpg,1
696,96 well image example__D8__19.jpg,2
697,96 well image example__D9__1.jpg,1
698,96 well image example__D9__2.jpg,2
699,96 well image example__D9__3.jpg,1
700,96 well image example__D9__4.jpg,1
701,96 well image example__D9__5.jpg,1
702,96 well image example__D9__6.jpg,3
703,96 well image example__D9__7.jpg,1
704,96 well image example__D9__8.jpg,1
705,96 well image example__D9__9.jpg,1
706,96 well image example__D9__10.jpg,1
707,96 well image example__D9__11.jpg,1
708,96 well image example__D9__12.jpg,7
709,96 well image example__D9__13.jpg,1
710,96 well image example__D9__14.jpg,1
711,96 well image example__D9__15.jpg,2
712,96 well image example__D9__16.jpg,1
713,96 well image example__D9__17.jpg,1
714,96 well image example__D10__1.jpg,1
715,96 well image example__D10__2.jpg,2
716,96 well image example__D10__3.jpg,3
717,96 well image example__D10__4.jpg,1
718,96 well image example__D10__5.jpg,1
719,96 well image example__D10__6.jpg,1
720,96 well image example__D10__7.jpg,2
721,96 well image example__D10__8.jpg,4
722,96 well image example__D10__9.jpg,1
723,96 well image example__D10__10.jpg,3
724,96 well image example__D10__11.jpg,4
725,96 well image example__D10__12.jpg,1
726,96 well image example__D10__13.jpg,2
727,96 well image example__D10__14.jpg,1
728,96 well image example__D10__15.jpg,1
729,96 well image example__D10__16.jpg,1
730,96 well image example__D11__1.jpg,2
731,96 well image example__D11__2.jpg,1
732,96 well image example__D11__3.jpg,3
733,96 well image example__D11__4.jpg,2
